"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X210","2020-03-17 00:00:00","38.000","159.000","0.800","18.000","0.780","1014.600","","0.000","-99.000","-99.000","-99.000","24.800","","15.100",""
"C0D430","2020-03-17 00:00:00","87.000","0.000","0.000","15.300","0.940","1009.300","","0.000","-99.000","-99.000","-99.000","25.700","","9.200",""
"C0AD30","2020-03-17 00:00:00","20.000","95.000","1.300","19.800","0.440","1016.100","","0.000","-99.000","-99.000","-99.000","23.600","","16.100",""
"C0R240","2020-03-17 00:00:00","87.000","41.000","0.300","16.900","0.880","1010.100","","0.000","-99.000","-99.000","-99.000","27.300","","14.300",""
"C0AI30","2020-03-17 00:00:00","26.000","89.000","2.500","19.500","0.510","1018.500","","0.000","-99.000","-99.000","-99.000","22.300","","15.900",""
"C0U960","2020-03-17 00:00:00","1885.000","5.000","1.200","3.600","0.750","818.000","","0.500","-99.000","-99.000","-99.000","7.500","","-1.100",""
"C0T9E0","2020-03-17 00:00:00","415.000","228.000","1.800","13.900","0.670","976.000","","0.000","-99.000","-99.000","-99.000","17.100","","12.800",""
"C0D550","2020-03-17 00:00:00","1956.000","0.000","0.200","9.400","0.590","814.500","","0.000","-99.000","-99.000","-99.000","15.100","","2.200",""
"C0C630","2020-03-17 00:00:00","209.000","128.000","0.400","16.900","0.540","996.300","","0.000","-99.000","-99.000","-99.000","23.200","","11.700",""
"C0X190","2020-03-17 00:00:00","10.000","40.000","0.900","20.800","0.580","1019.200","","0.000","-99.000","-99.000","-99.000","24.400","","17.600",""
"C0S950","2020-03-17 00:00:00","415.000","235.000","1.800","14.300","0.750","974.400","","0.000","-99.000","-99.000","-99.000","18.100","","13.300",""
"C0I530","2020-03-17 00:00:00","3014.000","233.000","6.300","4.200","0.790","703.700","","-99.000","-99.000","-99.000","-99.000","7.900","","0.400",""
"C0M670","2020-03-17 00:00:00","43.000","0.000","0.000","19.400","0.680","1015.100","","0.000","-99.000","-99.000","-99.000","25.800","","16.400",""
"C0Z061","2020-03-17 00:00:00","174.000","163.000","0.700","14.000","0.880","1006.400","","0.000","-99.000","-99.000","-99.000","18.900","","13.800",""
"C0M730","2020-03-17 00:00:00","40.000","0.000","0.000","19.000","0.770","1015.400","","0.000","-99.000","-99.000","-99.000","28.000","","16.500",""
"C0U750","2020-03-17 00:00:00","398.000","191.000","5.400","15.400","0.610","975.400","","0.000","-99.000","-99.000","-99.000","17.700","","13.500",""
"C0A950","2020-03-17 00:00:00","60.000","160.000","2.600","18.400","0.570","1014.200","","0.000","8.800","151.000","","20.400","","15.700",""
"C0R160","2020-03-17 00:00:00","45.000","0.000","0.000","19.900","0.980","1014.700","","0.000","-99.000","-99.000","-99.000","25.600","","15.500",""
"C0F9S0","2020-03-17 00:00:00","43.000","139.000","0.400","18.900","0.680","1016.000","","0.000","-99.000","-99.000","-99.000","24.900","","16.000",""
"C0M820","2020-03-17 00:00:00","980.000","47.000","0.800","13.200","0.740","911.600","","0.000","-99.000","-99.000","-99.000","19.700","","8.100",""
"C0G870","2020-03-17 00:00:00","12.000","0.000","0.000","16.900","0.790","1020.100","","0.000","-99.000","-99.000","-99.000","24.900","","14.300",""
"C0R530","2020-03-17 00:00:00","16.000","76.000","2.600","20.100","0.550","1018.800","","0.000","-99.000","-99.000","-99.000","23.200","","16.300",""
"C0O840","2020-03-17 00:00:00","134.000","120.000","1.100","18.400","0.610","1003.400","","0.000","-99.000","-99.000","-99.000","24.300","","15.300",""
"C0A890","2020-03-17 00:00:00","40.000","0.000","0.000","12.500","0.930","1016.600","","0.000","-99.000","-99.000","-99.000","21.800","","7.500",""
"C0T9H0","2020-03-17 00:00:00","725.000","268.000","1.700","12.100","0.700","940.400","","0.000","-99.000","-99.000","-99.000","13.400","","10.900",""
"C0R270","2020-03-17 00:00:00","51.000","85.000","1.200","19.600","0.690","1013.800","","0.000","-99.000","-99.000","-99.000","26.300","","18.300",""
"C0O980","2020-03-17 00:00:00","18.000","0.000","0.000","16.800","0.910","1019.800","","0.000","-99.000","-99.000","-99.000","26.800","","14.200",""
"C0T9I0","2020-03-17 00:00:00","152.000","206.000","1.700","14.700","0.680","1006.500","","0.000","-99.000","-99.000","-99.000","18.700","","14.500",""
